Script Path,Class Name,Prefab or Scene Usage Count,Referenced By Prefabs or Scenes
"Assets/EasyRoads3D Assets/Water/Scripts/UVScroller_water.cs","UVScroller_water",2,"Assets/EasyRoads3D Assets/Water/Prefabs/waterPrefab.prefab | Assets/EasyRoads3D scenes/Demo Scene v3.1.unity"
"Assets/EasyRoads3D scenes/Standard Assets/Environment/Water (Basic)/Scripts/WaterBasic.cs","WaterBasic",3,"Assets/EasyRoads3D scenes/Demo Scene v3.1.unity | Assets/EasyRoads3D scenes/scene main.unity | Assets/EasyRoads3D scenes/Standard Assets/Environment/Water (Basic)/Prefabs/WaterBasicDaytime.prefab"
"Assets/EasyRoads3D/Scripts/ERCallback.cs","ERCallback",1,"Assets/EasyRoads3D scenes/Demo Scene v3.2+.unity"
"Assets/EasyRoads3D/Scripts/ERVegetationStudio.cs","ERVegetationStudio",0,""
"Assets/EasyRoads3D/Scripts/runtimeScript.cs","runtimeScript",2,"Assets/EasyRoads3D scenes/scene runtime - existing road network.unity | Assets/EasyRoads3D scenes/scene runtime - new road network.unity"
"Assets/Scripts/_Deprecated/PelotonAttackManager.cs","PelotonAttackManager",1,"Assets/Scenes/Spline08 (AI Peleton).unity"
"Assets/Scripts/_Deprecated/SplineFollower.cs","SplineFollower",3,"Assets/Scenes/Spline01.unity | Assets/Scenes/Spline02 (switching lanes).unity | Assets/Scenes/Spline03 (easyRoads).unity"
"Assets/Scripts/ATPBucketHUD.cs","ATPBucketHUD",9,"Assets/Prefabs/Race HUD Canvas Prefab.prefab | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/Race HUD Canvas Prefab.prefab | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/AuditScriptUsage.cs","ScriptUsageAudit",0,""
"Assets/Scripts/CameraFollower.cs","CameraFollower",15,"Assets/_Recovery/0.unity | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline01.unity | Assets/Scenes/Spline02 (switching lanes).unity | Assets/Scenes/Spline03 (easyRoads).unity | Assets/Scenes/Spline04 (easyRoads).unity | Assets/Scenes/Spline05 (easyRoadsSpline).unity | Assets/Scenes/Spline06 (easyRoadsLapCount).unity | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/EasyRoadsToUnitySpline.cs","EasyRoadsToUnitySpline",9,"Assets/_Recovery/0.unity | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/Spline05 (easyRoadsSpline).unity | Assets/Scenes/Spline06 (easyRoadsLapCount).unity | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/KeyboardRacerInput.cs","KeyboardRacerInput",14,"Assets/_Recovery/0.unity | Assets/Prefabs/Player Racer Prefab.prefab | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/Player Racer Prefab.prefab | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline04 (easyRoads).unity | Assets/Scenes/Spline05 (easyRoadsSpline).unity | Assets/Scenes/Spline06 (easyRoadsLapCount).unity | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain02 single Sprite.unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/NPCGridSpawner.cs","NPCGridSpawner",7,"Assets/_Recovery/0.unity | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
"Assets/Scripts/NPCPelotonYield.cs","NPCPelotonYield",10,"Assets/_Recovery/0.unity | Assets/Prefabs/NPC Racer Prefab.prefab | Assets/Prefabs/RaceSystems.prefab | Assets/Scenes/builtFromTemplate001.unity | Assets/Scenes/builtFromTemplate001/NPC Racer Prefab.prefab | Assets/Scenes/builtFromTemplate001/RaceSystems.prefab | Assets/Scenes/Spline07 (AI Race).unity | Assets/Scenes/Spline08 (AI Peleton).unity | Assets/Scenes/Terrain03 peleton.unity | Assets/Scenes/Terrain04 watts Stress Test.unity"
